"RPS","Completed Requests (%)","Max CPU Utilization %","Working Set (MB)","Latency 75% (ms)","Completed Requests","Memory Limit (MB)","Latency 50% (ms)","Scenario","Swap (MB)","Latency 90% (ms)","CPU Limit","CPU Utilization %"
"1000","100.0","100","50.0","22.62","20000.0","360","18.88","dotnet-controllers-3.0","0.0","37.63","1.0","95.61"
"1","100.0","50","45.0","14.57","20.0","100","14.24","dotnet-controllers-3.1","0.0","14.73","0.5","44.43"
"1","100.0","50","45.0","16.25","20.0","180","15.69","dotnet-controllers-3.1","0.0","16.43","0.5","34.06"
"1","100.0","50","42.0","16.64","20.0","60","15.72","dotnet-controllers-3.1","0.0","16.93","0.5","13.3"
"1","100.0","100","44.0","16.51","20.0","120","15.17","dotnet-controllers-3.1","0.0","17.34","1.0","46.16"
"1","100.0","100","45.0","16.85","20.0","200","15.81","dotnet-controllers-3.1","0.0","16.88","1.0","33.91"
"1","100.0","100","45.0","15.79","20.0","360","15.51","dotnet-controllers-3.1","0.0","16.88","1.0","46.91"
"100","100.0","50","47.0","14.81","2000.0","100","13.42","dotnet-controllers-3.1","0.0","15.2","0.5","46.38"
"100","100.0","50","46.0","14.83","2000.0","180","13.73","dotnet-controllers-3.1","0.0","15.19","0.5","34.87"
"100","100.0","50","46.0","14.84","2000.0","60","13.28","dotnet-controllers-3.1","0.0","15.22","0.5","38.17"
"100","100.0","100","47.0","14.82","2000.0","120","13.22","dotnet-controllers-3.1","0.0","15.2","1.0","35.97"
"100","100.0","100","45.0","14.65","2000.0","200","13.11","dotnet-controllers-3.1","0.0","15.09","1.0","35.07"
"100","100.0","100","46.0","14.76","2000.0","360","13.68","dotnet-controllers-3.1","0.0","15.14","1.0","45.41"
"1000","44.26","50","55.0","10810","8852.0","100","10320","dotnet-controllers-3.1","0.0","10990","0.5","52.29"
"1000","64.95","50","49.0","6300","12990.0","180","5710","dotnet-controllers-3.1","0.0","6790","0.5","52.78"
"1000","65.62","50","46.0","6350","13123.0","60","5710","dotnet-controllers-3.1","0.0","6680","0.5","53.58"
"1000","100.0","100","51.0","22.33","20000.0","120","19.61","dotnet-controllers-3.1","0.0","38.53","1.0","80.66"
"1000","100.0","100","51.0","23.68","20000.0","200","21.3","dotnet-controllers-3.1","0.0","36.64","1.0","79.94"
"1000","100.0","100","50.0","23.2","20000.0","360","19.34","dotnet-controllers-3.1","0.0","25.44","1.0","88.49"
"1","100.0","50","39.0","16.45","20.0","100","14.95","dotnet-route-to-code-3.0","0.0","17.53","0.5","6.34"
"1","100.0","50","38.0","17.15","20.0","180","15.45","dotnet-route-to-code-3.0","0.0","20.17","0.5","12.81"
"1","100.0","50","38.0","16.12","20.0","60","15.45","dotnet-route-to-code-3.0","0.0","17.49","0.5","45.77"
"1","100.0","100","39.0","15.3","20.0","120","14.73","dotnet-route-to-code-3.0","0.0","15.31","1.0","14.07"
"1","100.0","100","39.0","15.38","20.0","200","14.43","dotnet-route-to-code-3.0","0.0","15.57","1.0","12.09"
"1","100.0","100","40.0","15.56","20.0","360","14.77","dotnet-route-to-code-3.0","0.0","15.81","1.0","28.83"
"100","100.0","50","42.0","14.49","2000.0","100","13.28","dotnet-route-to-code-3.0","0.0","14.9","0.5","22.71"
"100","100.0","50","46.0","14.63","2000.0","180","13.3","dotnet-route-to-code-3.0","0.0","15.03","0.5","31.2"
"100","100.0","50","39.0","14.32","2000.0","60","12.98","dotnet-route-to-code-3.0","0.0","14.79","0.5","45.03"
"100","100.0","100","42.0","14.68","2000.0","120","13.54","dotnet-route-to-code-3.0","0.0","15.02","1.0","43.05"
"100","100.0","100","46.0","13.35","2000.0","200","13.07","dotnet-route-to-code-3.0","0.0","13.56","1.0","44.05"
"100","100.0","100","47.0","13.04","2000.0","360","12.85","dotnet-route-to-code-3.0","0.0","13.25","1.0","44.9"
"1000","74.06","50","47.0","4860","14812.0","100","4510","dotnet-route-to-code-3.0","0.0","5140","0.5","54.08"
"1000","71.96","50","51.0","5210","14391.0","180","4830","dotnet-route-to-code-3.0","0.0","5460","0.5","51.47"
"1000","72.86","50","41.0","4960","14573.0","60","4580","dotnet-route-to-code-3.0","0.0","5300","0.5","49.99"
"1000","100.0","100","47.0","21.58","20000.0","120","16.96","dotnet-route-to-code-3.0","0.0","23.98","1.0","96.21"
"1000","81.19","100","50.0","3640","16238.0","200","3360","dotnet-route-to-code-3.0","0.0","3750","1.0","101.31"
"1000","99.84","100","49.0","380.16","19969.0","360","27.47","dotnet-route-to-code-3.0","0.0","777.73","1.0","98.82"
"1","100.0","50","39.0","14.33","20.0","100","13.9","dotnet-route-to-code-3.1","0.0","14.71","0.5","24.39"
"1","100.0","50","39.0","16.48","20.0","180","14.19","dotnet-route-to-code-3.1","0.0","17.53","0.5","22.99"
"1","100.0","50","38.0","16.28","20.0","60","15.22","dotnet-route-to-code-3.1","0.0","16.66","0.5","33.16"
"1","100.0","100","39.0","15.31","20.0","120","14.61","dotnet-route-to-code-3.1","0.0","16.15","1.0","5.16"
"1","100.0","100","39.0","15.98","20.0","200","14.89","dotnet-route-to-code-3.1","0.0","16.36","1.0","39.72"
"1","100.0","100","40.0","15","20.0","360","14.54","dotnet-route-to-code-3.1","0.0","15.32","1.0","45.19"
"100","100.0","50","46.0","14.54","2000.0","100","13.43","dotnet-route-to-code-3.1","0.0","14.95","0.5","43.37"
"100","100.0","50","46.0","14.51","2000.0","180","13.02","dotnet-route-to-code-3.1","0.0","14.92","0.5","46.04"
"100","100.0","50","38.0","14.55","2000.0","60","13.14","dotnet-route-to-code-3.1","0.0","14.92","0.5","44.64"
"100","100.0","100","46.0","13.24","2000.0","120","12.96","dotnet-route-to-code-3.1","0.0","13.54","1.0","41.0"
"100","100.0","100","44.0","13","2000.0","200","12.73","dotnet-route-to-code-3.1","0.0","13.22","1.0","49.52"
"100","100.0","100","46.0","12.97","2000.0","360","12.76","dotnet-route-to-code-3.1","0.0","13.13","1.0","38.19"
"1000","76.60","50","47.0","4240","15321.0","100","3880","dotnet-route-to-code-3.1","0.0","4650","0.5","52.5"
"1000","77.97","50","45.0","4040","15594.0","180","3690","dotnet-route-to-code-3.1","0.0","4300","0.5","50.63"
"1000","76.98","50","41.0","4230","15397.0","60","3890","dotnet-route-to-code-3.1","0.0","4410","0.5","50.36"
"1000","100.0","100","48.0","21.95","20000.0","120","18.03","dotnet-route-to-code-3.1","0.0","33.28","1.0","88.07"
"1000","100.0","100","52.0","830.46","20000.0","200","88.83","dotnet-route-to-code-3.1","0.0","1150","1.0","99.84"
"1000","100.0","100","51.0","22.09","20000.0","360","16.48","dotnet-route-to-code-3.1","0.0","24.3","1.0","84.05"
