"RPS","Completed Requests (%)","Max CPU Utilization %","Working Set (MB)","Latency 75% (ms)","Completed Requests","Memory Limit (MB)","Latency 50% (ms)","Scenario","Swap (MB)","Latency 90% (ms)","CPU Limit","CPU Utilization %"
"100","100.0","50","14.0","11.96","2000.0","180","11.69","go-fasthttp","0.0","12.11","0.5","3.05"
"100","100.0","50","13.0","11.95","2000.0","60","11.73","go-fasthttp","0.0","12.11","0.5","3.05"
"100","100.0","100","13.0","11.98","2000.0","120","11.73","go-fasthttp","0.0","12.11","1.0","14.93"
"100","100.0","100","14.0","11.99","2000.0","200","11.73","go-fasthttp","0.0","12.15","1.0","3.07"
"100","100.0","100","13.0","11.95","2000.0","360","11.67","go-fasthttp","0.0","12.11","1.0","3.89"
"1000","100.0","25","18.0","23.84","20000.0","30","11.78","go-fasthttp","0.0","47.74","0.25","25.82"
"1000","100.0","25","18.0","17.98","20000.0","50","11.7","go-fasthttp","0.0","42.4","0.25","24.95"
"1000","100.0","25","19.0","25.2","20000.0","90","11.8","go-fasthttp","0.0","47.29","0.25","25.22"
"1000","100.0","50","18.0","11.82","20000.0","100","11.57","go-fasthttp","0.0","11.99","0.5","27.18"
"1000","100.0","50","18.0","11.83","20000.0","180","11.58","go-fasthttp","0.0","12","0.5","31.17"
"1000","100.0","50","18.0","11.83","20000.0","60","11.58","go-fasthttp","0.0","12","0.5","32.68"
"1000","100.0","100","18.0","11.82","20000.0","120","11.57","go-fasthttp","0.0","12","1.0","27.93"
"1000","100.0","100","17.0","11.83","20000.0","200","11.59","go-fasthttp","0.0","12","1.0","33.25"
"1000","100.0","100","17.0","11.81","20000.0","360","11.57","go-fasthttp","0.0","11.97","1.0","29.07"
"10000","17.39","25","19.0","14270","34779.0","30","12260","go-fasthttp","0.0","15690","0.25","25.51"
"10000","17.48","25","19.0","14300","34956.0","50","12260","go-fasthttp","0.0","15650","0.25","26.22"
"10000","17.62","25","18.0","14500","35235.0","90","12380","go-fasthttp","0.0","15790","0.25","25.11"
"10000","30.61","50","23.0","12120","61217.0","100","10380","go-fasthttp","0.0","13120","0.5","50.82"
"10000","30.56","50","18.0","12170","61115.0","180","10390","go-fasthttp","0.0","13210","0.5","51.1"
"10000","30.49","50","19.0","12120","60973.0","60","10390","go-fasthttp","0.0","13220","0.5","51.21"
"10000","55.35","100","20.0","7770","110709.0","120","6700","go-fasthttp","0.0","8480","1.0","101.21"
"10000","55.10","100","19.0","7810","110209.0","200","6710","go-fasthttp","0.0","8500","1.0","100.51"
"10000","55.55","100","20.0","7800","111100.0","360","6680","go-fasthttp","0.0","8480","1.0","100.14"
"500","100.0","25","16.0","11.83","10000.0","30","11.57","go-fasthttp","0.0","11.98","0.25","20.02"
"500","100.0","25","16.0","11.82","10000.0","50","11.58","go-fasthttp","0.0","11.98","0.25","14.88"
"500","100.0","25","16.0","11.85","10000.0","90","11.59","go-fasthttp","0.0","11.99","0.25","22.53"
"500","100.0","50","17.0","11.83","10000.0","100","11.6","go-fasthttp","0.0","11.98","0.5","15.67"
"500","100.0","50","16.0","11.81","10000.0","180","11.58","go-fasthttp","0.0","11.98","0.5","13.22"
"500","100.0","50","16.0","11.83","10000.0","60","11.58","go-fasthttp","0.0","11.99","0.5","22.4"
"500","100.0","100","15.0","11.81","10000.0","120","11.57","go-fasthttp","0.0","11.96","1.0","23.21"
"500","100.0","100","18.0","11.83","10000.0","200","11.6","go-fasthttp","0.0","11.98","1.0","23.07"
"500","100.0","100","16.0","11.81","10000.0","360","11.58","go-fasthttp","0.0","11.98","1.0","16.78"
"5000","29.34","25","18.0","12380","29343.0","30","10720","go-fasthttp","0.0","13460","0.25","25.59"
"5000","29.37","25","19.0","12530","29372.0","50","10600","go-fasthttp","0.0","13480","0.25","25.15"
"5000","29.74","25","19.0","12330","29740.0","90","10610","go-fasthttp","0.0","13500","0.25","25.94"
"5000","54.44","50","17.0","7950","54445.0","100","6850","go-fasthttp","0.0","8630","0.5","50.88"
"5000","54.53","50","18.0","7930","54528.0","180","6820","go-fasthttp","0.0","8630","0.5","50.96"
"5000","54.46","50","18.0","8020","54456.0","60","6850","go-fasthttp","0.0","8640","0.5","52.48"
"5000","99.98","100","19.0","15.52","99979.0","120","11.7","go-fasthttp","0.0","20.51","1.0","100.4"
"5000","99.97","100","18.0","16.29","99966.0","200","11.76","go-fasthttp","0.0","21.61","1.0","101.61"
"5000","99.97","100","19.0","14.06","99970.0","360","11.58","go-fasthttp","0.0","18.78","1.0","101.77"
"1","100.0","25","12.0","12.53","20.0","30","11.98","rust-actix","0.0","12.58","0.25","0.26"
"1","100.0","25","12.0","12.29","20.0","50","12.12","rust-actix","0.0","12.43","0.25","7.85"
"1","100.0","25","11.0","12.24","20.0","90","11.79","rust-actix","0.0","12.26","0.25","9.88"
"1","100.0","50","12.0","12.2","20.0","100","11.95","rust-actix","0.0","12.29","0.5","13.52"
"1","100.0","50","12.0","12.05","20.0","180","11.83","rust-actix","0.0","12.21","0.5","0.05"
"1","100.0","50","12.0","12.51","20.0","60","12.04","rust-actix","0.0","12.57","0.5","0.6"
"1","100.0","100","12.0","12.57","20.0","120","12.21","rust-actix","0.0","12.7","1.0","0.7"
"1","100.0","100","12.0","12.43","20.0","200","11.89","rust-actix","0.0","12.62","1.0","14.6"
"1","100.0","100","12.0","12.63","20.0","360","12.32","rust-actix","0.0","12.79","1.0","13.83"
"100","100.0","25","12.0","11.96","2000.0","30","11.71","rust-actix","0.0","12.13","0.25","12.07"
"100","100.0","25","12.0","11.98","2000.0","50","11.72","rust-actix","0.0","12.13","0.25","3.99"
"100","100.0","25","12.0","11.97","2000.0","90","11.73","rust-actix","0.0","12.14","0.25","13.76"
"100","100.0","50","12.0","11.93","2000.0","100","11.65","rust-actix","0.0","12.13","0.5","13.94"
"100","100.0","50","12.0","11.99","2000.0","180","11.77","rust-actix","0.0","12.16","0.5","4.19"
"100","100.0","50","12.0","11.92","2000.0","60","11.64","rust-actix","0.0","12.09","0.5","3.88"
"100","100.0","100","12.0","11.91","2000.0","120","11.65","rust-actix","0.0","12.1","1.0","3.92"
"100","100.0","100","12.0","12","2000.0","200","11.75","rust-actix","0.0","12.16","1.0","15.51"
"100","100.0","100","13.0","11.97","2000.0","360","11.7","rust-actix","0.0","12.12","1.0","15.08"
"1000","90.32","25","15.0","1940","18065.0","30","1520","rust-actix","0.0","2220","0.25","24.26"
"1000","91.10","25","16.0","1810","18220.0","50","1480","rust-actix","0.0","2320","0.25","26.06"
"1000","90.21","25","16.0","1820","18042.0","90","1490","rust-actix","0.0","2220","0.25","26.05"
"1000","100.0","50","15.0","11.88","20000.0","100","11.63","rust-actix","0.0","12.05","0.5","37.2"
"1000","100.0","50","15.0","11.86","20000.0","180","11.61","rust-actix","0.0","12.02","0.5","37.88"
"1000","100.0","50","16.0","11.88","20000.0","60","11.63","rust-actix","0.0","12.06","0.5","37.45"
"1000","100.0","100","15.0","11.87","20000.0","120","11.61","rust-actix","0.0","12.04","1.0","37.44"
"1000","100.0","100","16.0","11.88","20000.0","200","11.62","rust-actix","0.0","12.05","1.0","37.4"
"1000","100.0","100","14.0","11.85","20000.0","360","11.6","rust-actix","0.0","12.01","1.0","37.37"
"10000","13.22","25","19.0","15110","26439.0","30","12960","rust-actix","0.0","16390","0.25","25.41"
"10000","13.22","25","19.0","15200","26442.0","50","13070","rust-actix","0.0","16460","0.25","26.72"
"10000","13.03","25","19.0","15250","26069.0","90","13090","rust-actix","0.0","16560","0.25","25.17"
"10000","23.85","50","24.0","13340","47708.0","100","11400","rust-actix","0.0","14480","0.5","51.44"
"10000","24.52","50","24.0","13170","49039.0","180","11260","rust-actix","0.0","14300","0.5","51.8"
"10000","25.06","50","24.0","13070","50123.0","60","11230","rust-actix","0.0","14170","0.5","52.12"
"10000","42.99","100","32.0","9980","85989.0","120","8560","rust-actix","0.0","10820","1.0","100.93"
"10000","43.14","100","32.0","9930","86285.0","200","8550","rust-actix","0.0","10770","1.0","101.47"
"10000","43.83","100","33.0","9860","87668.0","360","8480","rust-actix","0.0","10690","1.0","100.96"
"500","100.0","25","13.0","11.85","10000.0","30","11.59","rust-actix","0.0","12.01","0.25","19.63"
"500","100.0","25","14.0","11.85","10000.0","50","11.59","rust-actix","0.0","12.01","0.25","19.32"
"500","100.0","25","13.0","11.83","10000.0","90","11.59","rust-actix","0.0","11.99","0.25","19.45"
"500","100.0","50","13.0","11.84","10000.0","100","11.58","rust-actix","0.0","12.01","0.5","18.84"
"500","100.0","50","14.0","11.84","10000.0","180","11.57","rust-actix","0.0","12","0.5","19.3"
"500","100.0","50","13.0","11.83","10000.0","60","11.58","rust-actix","0.0","12.01","0.5","19.51"
"500","100.0","100","14.0","11.83","10000.0","120","11.57","rust-actix","0.0","11.99","1.0","19.21"
"500","100.0","100","13.0","11.85","10000.0","200","11.61","rust-actix","0.0","12.01","1.0","19.58"
"500","100.0","100","13.0","11.85","10000.0","360","11.61","rust-actix","0.0","12.01","1.0","19.13"
"5000","24.09","25","17.0","13260","24094.0","30","11400","rust-actix","0.0","14390","0.25","25.33"
"5000","24.34","25","17.0","13230","24342.0","50","11330","rust-actix","0.0","14350","0.25","25.0"
"5000","24.35","25","17.0","13200","24351.0","90","11280","rust-actix","0.0","14320","0.25","24.98"
"5000","43.76","50","21.0","9850","43755.0","100","8470","rust-actix","0.0","10680","0.5","52.35"
"5000","43.57","50","21.0","9840","43572.0","180","8410","rust-actix","0.0","10690","0.5","52.26"
"5000","43.99","50","21.0","9800","43991.0","60","8430","rust-actix","0.0","10650","0.5","51.54"
"5000","80.65","100","26.0","3390","80650.0","120","2900","rust-actix","0.0","3710","1.0","100.58"
"5000","82.04","100","27.0","3150","82040.0","200","2680","rust-actix","0.0","3490","1.0","101.98"
"5000","82.49","100","27.0","3050","82488.0","360","2580","rust-actix","0.0","3350","1.0","100.32"
