"RPS","Completed Requests (%)","Max CPU Utilization %","Working Set (MB)","Latency 75% (ms)","Completed Requests","Memory Limit (MB)","Latency 50% (ms)","Scenario","Swap (MB)","Latency 90% (ms)","CPU Limit","CPU Utilization %"
"1","100.0","25","30.0","15.37","20.0","30","13.66","dotnet-route-to-code","7.0","15.63","0.25","2.96"
"1","100.0","25","35.0","14.72","20.0","50","13.98","dotnet-route-to-code","0.0","14.77","0.25","1.7"
"1","100.0","25","36.0","14.09","20.0","90","13.79","dotnet-route-to-code","0.0","14.64","0.25","4.99"
"1","100.0","50","35.0","15.15","20.0","100","14.73","dotnet-route-to-code","0.0","15.69","0.5","9.85"
"1","100.0","50","34.0","14.77","20.0","180","13.86","dotnet-route-to-code","0.0","14.84","0.5","31.77"
"1","100.0","50","35.0","14.57","20.0","60","14","dotnet-route-to-code","0.0","14.59","0.5","2.99"
"1","100.0","100","36.0","14.44","20.0","120","13.38","dotnet-route-to-code","0.0","15.09","1.0","33.33"
"1","100.0","100","32.0","14.53","20.0","200","13.99","dotnet-route-to-code","0.0","15.24","1.0","4.47"
"1","100.0","100","37.0","14.39","20.0","360","14.02","dotnet-route-to-code","0.0","14.48","1.0","32.66"
"100","100.0","25","30.0","12.25","2000.0","30","11.98","dotnet-route-to-code","11.0","12.4","0.25","22.05"
"100","100.0","25","43.0","12.2","2000.0","50","11.94","dotnet-route-to-code","0.0","12.35","0.25","26.53"
"100","100.0","25","41.0","12.23","2000.0","90","11.97","dotnet-route-to-code","0.0","12.38","0.25","23.4"
"100","100.0","50","34.0","12.2","2000.0","100","11.97","dotnet-route-to-code","0.0","12.34","0.5","16.41"
"100","100.0","50","41.0","12.27","2000.0","180","12.05","dotnet-route-to-code","0.0","12.42","0.5","26.63"
"100","100.0","50","35.0","12.22","2000.0","60","11.99","dotnet-route-to-code","0.0","12.39","0.5","34.12"
"100","100.0","100","42.0","12.29","2000.0","120","12.05","dotnet-route-to-code","0.0","12.44","1.0","40.6"
"100","100.0","100","43.0","12.3","2000.0","200","12.06","dotnet-route-to-code","0.0","12.41","1.0","18.33"
"100","100.0","100","42.0","12.3","2000.0","360","12.08","dotnet-route-to-code","0.0","12.43","1.0","27.27"
"1000","97.37","25","30.0","2650","19474.0","30","1990","dotnet-route-to-code","8.0","3040","0.25","26.35"
"1000","80.06","25","37.0","6060","16011.0","50","5440","dotnet-route-to-code","0.0","6280","0.25","25.72"
"1000","43.70","25","41.0","10530","8741.0","90","9630","dotnet-route-to-code","0.0","11060","0.25","24.09"
"1000","100.0","50","37.0","12.04","20000.0","100","11.76","dotnet-route-to-code","0.0","12.34","0.5","48.29"
"1000","100.0","50","35.0","12.07","20000.0","180","11.77","dotnet-route-to-code","0.0","12.32","0.5","47.02"
"1000","100.0","50","35.0","12.2","20000.0","60","11.85","dotnet-route-to-code","0.0","18.45","0.5","48.44"
"1000","100.0","100","39.0","12.14","20000.0","120","11.85","dotnet-route-to-code","0.0","12.35","1.0","78.79"
"1000","100.0","100","42.0","12.07","20000.0","200","11.78","dotnet-route-to-code","0.0","12.27","1.0","96.6"
"1000","100.0","100","43.0","12.14","20000.0","360","11.86","dotnet-route-to-code","0.0","12.37","1.0","82.19"
"10000","6.50","25","30.0","17170","12992.0","30","15000","dotnet-route-to-code","13.0","18120","0.25","26.89"
"10000","7.13","25","41.0","17020","14259.0","50","15290","dotnet-route-to-code","0.0","17940","0.25","26.18"
"10000","6.68","25","42.0","16690","13363.0","90","14390","dotnet-route-to-code","0.0","17870","0.25","26.32"
"10000","33.00","50","43.0","11920","66000.0","100","10260","dotnet-route-to-code","0.0","12800","0.5","52.08"
"10000","32.81","50","41.0","11710","65616.0","180","10270","dotnet-route-to-code","0.0","12460","0.5","52.14"
"10000","32.82","50","42.0","11960","65635.0","60","10440","dotnet-route-to-code","0.0","12830","0.5","52.93"
"10000","50.68","100","43.0","9970","101367.0","120","9890","dotnet-route-to-code","0.0","10060","1.0","101.3"
"10000","34.84","100","45.0","12050","69673.0","200","10770","dotnet-route-to-code","0.0","12660","1.0","99.38"
"10000","88.34","100","39.0","2210","176677.0","360","2070","dotnet-route-to-code","0.0","2280","1.0","100.68"
"500","100.0","25","30.0","2680","10000.0","30","1710","dotnet-route-to-code","9.0","3180","0.25","24.44"
"500","100.0","25","35.0","1430","10000.0","50","704","dotnet-route-to-code","0.0","1940","0.25","26.15"
"500","96.07","25","42.0","3250","9607.0","90","2530","dotnet-route-to-code","0.0","3630","0.25","24.0"
"500","100.0","50","37.0","12.14","10000.0","100","11.92","dotnet-route-to-code","0.0","12.33","0.5","36.53"
"500","100.0","50","37.0","12.14","10000.0","180","11.91","dotnet-route-to-code","0.0","12.34","0.5","32.98"
"500","100.0","50","37.0","12.13","10000.0","60","11.85","dotnet-route-to-code","0.0","12.3","0.5","48.92"
"500","100.0","100","38.0","12.16","10000.0","120","11.91","dotnet-route-to-code","0.0","12.32","1.0","38.75"
"500","100.0","100","39.0","12.2","10000.0","200","11.94","dotnet-route-to-code","0.0","12.34","1.0","36.64"
"500","100.0","100","40.0","12.18","10000.0","360","11.94","dotnet-route-to-code","0.0","12.34","1.0","61.54"
"5000","22.36","25","30.0","13800","22364.0","30","12050","dotnet-route-to-code","16.0","14840","0.25","25.26"
"5000","11.43","25","36.0","16290","11434.0","50","14610","dotnet-route-to-code","0.0","17120","0.25","26.27"
"5000","24.22","25","38.0","13430","24224.0","90","11810","dotnet-route-to-code","0.0","14450","0.25","26.09"
"5000","58.13","50","42.0","7610","58126.0","100","6720","dotnet-route-to-code","0.0","7970","0.5","53.24"
"5000","50.54","50","37.0","9180","50545.0","180","8120","dotnet-route-to-code","0.0","9640","0.5","51.86"
"5000","57.07","50","36.0","7760","57072.0","60","6820","dotnet-route-to-code","0.0","8180","0.5","53.19"
"5000","99.76","100","39.0","52.64","99759.0","120","11.8","dotnet-route-to-code","0.0","88.13","1.0","93.18"
"5000","63.42","100","43.0","7010","63417.0","200","6410","dotnet-route-to-code","0.0","7230","1.0","100.91"
"5000","91.08","100","43.0","2640","91080.0","360","2330","dotnet-route-to-code","0.0","2820","1.0","101.2"
"1","100.0","25","12.0","11.79","20.0","30","11.34","go-fasthttp","0.0","12.53","0.25","2.52"
"1","100.0","25","12.0","12.05","20.0","50","11.69","go-fasthttp","0.0","12.23","0.25","14.41"
"1","100.0","25","12.0","12.19","20.0","90","11.89","go-fasthttp","0.0","12.32","0.25","0.09"
"1","100.0","50","12.0","12.12","20.0","100","11.79","go-fasthttp","0.0","12.15","0.5","11.05"
"1","100.0","50","13.0","11.92","20.0","180","11.57","go-fasthttp","0.0","12.53","0.5","2.39"
"1","100.0","50","12.0","12.51","20.0","60","11.84","go-fasthttp","0.0","12.57","0.5","13.94"
"1","100.0","100","13.0","12.59","20.0","120","11.83","go-fasthttp","0.0","12.7","1.0","14.69"
"1","100.0","100","13.0","12.49","20.0","200","12.14","go-fasthttp","0.0","12.51","1.0","2.49"
"1","100.0","100","12.0","12.06","20.0","360","11.69","go-fasthttp","0.0","12.08","1.0","15.35"
"100","100.0","25","14.0","11.94","2000.0","30","11.72","go-fasthttp","0.0","12.1","0.25","13.34"
"100","100.0","25","13.0","11.96","2000.0","50","11.69","go-fasthttp","0.0","12.1","0.25","3.11"
"100","100.0","25","12.0","11.95","2000.0","90","11.69","go-fasthttp","0.0","12.1","0.25","13.52"
"100","100.0","50","13.0","11.94","2000.0","100","11.66","go-fasthttp","0.0","12.11","0.5","3.26"
