"RPS","Completed Requests (%)","Max CPU Utilization %","Working Set (MB)","Latency 75% (ms)","Completed Requests","Memory Limit (MB)","Latency 50% (ms)","Scenario","Swap (MB)","Latency 90% (ms)","CPU Limit","CPU Utilization %"
"1","100.0","25","30.0","13.99","20.0","30","13.62","dotnet-controllers","11.0","15.02","0.25","20.35"
"1","100.0","25","40.0","14.2","20.0","50","14.05","dotnet-controllers","0.0","14.49","0.25","7.74"
"1","100.0","25","39.0","15.57","20.0","90","14.82","dotnet-controllers","0.0","15.69","0.25","5.2"
"1","100.0","50","40.0","15.18","20.0","100","14.94","dotnet-controllers","0.0","16.01","0.5","15.58"
"1","100.0","50","39.0","15.1","20.0","180","14.43","dotnet-controllers","0.0","15.37","0.5","38.8"
"1","100.0","50","38.0","15.65","20.0","60","14.54","dotnet-controllers","0.0","16.01","0.5","43.0"
"1","100.0","100","40.0","15.1","20.0","120","14.62","dotnet-controllers","0.0","15.27","1.0","31.02"
"1","100.0","100","42.0","14.59","20.0","200","14.22","dotnet-controllers","0.0","15.18","1.0","5.86"
"1","100.0","100","42.0","15.22","20.0","360","14.93","dotnet-controllers","0.0","15.48","1.0","41.96"
"100","100.0","25","30.0","12.26","2000.0","30","12.02","dotnet-controllers","14.0","12.42","0.25","22.19"
"100","100.0","25","45.0","12.27","2000.0","50","12.06","dotnet-controllers","0.0","12.42","0.25","22.11"
"100","100.0","25","44.0","12.23","2000.0","90","12.02","dotnet-controllers","0.0","12.41","0.25","20.67"
"100","100.0","50","43.0","12.22","2000.0","100","12.02","dotnet-controllers","0.0","12.41","0.5","35.53"
"100","100.0","50","42.0","12.26","2000.0","180","12.04","dotnet-controllers","0.0","12.43","0.5","45.05"
"100","100.0","50","45.0","12.26","2000.0","60","12.04","dotnet-controllers","0.0","12.43","0.5","33.37"
"100","100.0","100","45.0","12.34","2000.0","120","12.07","dotnet-controllers","0.0","12.5","1.0","24.71"
"100","100.0","100","45.0","12.33","2000.0","200","12.09","dotnet-controllers","0.0","12.49","1.0","40.55"
"100","100.0","100","46.0","12.38","2000.0","360","12.14","dotnet-controllers","0.0","12.52","1.0","37.65"
"1000","71.86","25","30.0","5460","14371.0","30","5230","dotnet-controllers","14.0","5630","0.25","24.48"
"1000","71.64","25","38.0","5560","14327.0","50","5370","dotnet-controllers","0.0","5670","0.25","23.71"
"1000","53.82","25","43.0","8850","10765.0","90","8360","dotnet-controllers","0.0","9120","0.25","24.99"
"1000","100.0","50","41.0","12.69","20000.0","100","12.12","dotnet-controllers","0.0","20.21","0.5","44.75"
"1000","100.0","50","42.0","12.42","20000.0","180","11.92","dotnet-controllers","0.0","37.15","0.5","49.31"
"1000","99.88","50","38.0","12.33","19976.0","60","11.88","dotnet-controllers","0.0","27.01","0.5","38.61"
"1000","100.0","100","41.0","12.18","20000.0","120","11.9","dotnet-controllers","0.0","12.44","1.0","52.62"
"1000","99.84","100","40.0","12.18","19969.0","200","11.9","dotnet-controllers","0.0","12.45","1.0","74.2"
"1000","100.0","100","45.0","12.12","20000.0","360","11.83","dotnet-controllers","0.0","12.38","1.0","64.44"
"10000","6.68","25","30.0","16830","13365.0","30","15030","dotnet-controllers","25.0","17870","0.25","25.67"
"10000","7.47","25","50.0","16370","14942.0","50","14330","dotnet-controllers","5.0","17630","0.25","25.8"
"10000","7.83","25","47.0","16450","15659.0","90","14200","dotnet-controllers","0.0","17760","0.25","25.01"
"10000","20.56","50","42.0","14040","41117.0","100","12210","dotnet-controllers","0.0","15050","0.5","50.02"
"10000","23.02","50","44.0","13480","46041.0","180","11540","dotnet-controllers","0.0","14610","0.5","52.12"
"10000","21.66","50","40.0","13830","43318.0","60","11970","dotnet-controllers","0.0","14930","0.5","52.15"
"10000","64.64","100","44.0","6370","129277.0","120","5710","dotnet-controllers","0.0","6800","1.0","100.27"
"10000","23.72","100","46.0","14030","47431.0","200","12210","dotnet-controllers","0.0","14840","1.0","104.89"
"10000","61.68","100","43.0","6710","123366.0","360","6120","dotnet-controllers","0.0","7220","1.0","100.19"
"500","91.28","25","30.0","3120","9128.0","30","2740","dotnet-controllers","11.0","3490","0.25","24.64"
"500","91.60","25","45.0","2830","9160.0","50","2450","dotnet-controllers","0.0","3100","0.25","23.77"
"500","91.62","25","41.0","2790","9162.0","90","2510","dotnet-controllers","0.0","3140","0.25","24.61"
"500","100.0","50","41.0","12.18","10000.0","100","11.95","dotnet-controllers","0.0","12.38","0.5","47.2"
"500","100.0","50","41.0","12.19","10000.0","180","11.96","dotnet-controllers","0.0","12.4","0.5","42.93"
"500","100.0","50","39.0","12.18","10000.0","60","11.94","dotnet-controllers","0.0","12.38","0.5","32.81"
"500","100.0","100","41.0","12.16","10000.0","120","11.94","dotnet-controllers","0.0","12.36","1.0","57.17"
"500","100.0","100","42.0","12.19","10000.0","200","11.95","dotnet-controllers","0.0","12.41","1.0","56.22"
"500","100.0","100","46.0","12.2","10000.0","360","11.96","dotnet-controllers","0.0","12.41","1.0","64.92"
"5000","15.99","25","30.0","15000","15994.0","30","13100","dotnet-controllers","17.0","16110","0.25","25.92"
"5000","5.84","25","41.0","16780","5839.0","50","14270","dotnet-controllers","0.0","18170","0.25","25.64"
"5000","15.08","25","43.0","15050","15084.0","90","12860","dotnet-controllers","0.0","16170","0.25","25.21"
"5000","40.70","50","44.0","10490","40696.0","100","9220","dotnet-controllers","0.0","11390","0.5","49.85"
"5000","41.34","50","42.0","10440","41340.0","180","9040","dotnet-controllers","0.0","11260","0.5","51.96"
"5000","38.87","50","46.0","11030","38874.0","60","9550","dotnet-controllers","0.0","11790","0.5","51.28"
"5000","98.80","100","44.0","210.56","98797.0","120","110.27","dotnet-controllers","0.0","278.27","1.0","96.68"
"5000","98.70","100","44.0","852.99","98698.0","200","644.09","dotnet-controllers","0.0","1010","1.0","96.5"
"5000","81.49","100","48.0","4590","81490.0","360","4370","dotnet-controllers","0.0","4680","1.0","102.57"
"1","100.0","25","30.0","14.06","20.0","30","13.41","dotnet-route-to-code","4.0","20.53","0.25","6.21"
"1","100.0","25","34.0","14.38","20.0","50","13.49","dotnet-route-to-code","0.0","14.66","0.25","6.72"
"1","100.0","25","34.0","14.42","20.0","90","13.96","dotnet-route-to-code","0.0","14.9","0.25","8.02"
"1","100.0","50","34.0","13.19","20.0","100","12.79","dotnet-route-to-code","0.0","13.38","0.5","21.45"
"1","100.0","50","32.0","13.27","20.0","180","13.1","dotnet-route-to-code","0.0","13.39","0.5","1.19"
"1","100.0","50","33.0","13.53","20.0","60","13.06","dotnet-route-to-code","0.0","13.86","0.5","3.83"
"1","100.0","100","35.0","14.3","20.0","120","13.75","dotnet-route-to-code","0.0","14.41","1.0","25.14"
"1","100.0","100","37.0","13.19","20.0","200","13.08","dotnet-route-to-code","0.0","13.33","1.0","35.79"
"1","100.0","100","36.0","13.53","20.0","360","12.91","dotnet-route-to-code","0.0","14.05","1.0","16.68"
"100","100.0","25","30.0","12.21","2000.0","30","11.98","dotnet-route-to-code","4.0","12.34","0.25","20.87"
"100","100.0","25","36.0","12.18","2000.0","50","11.96","dotnet-route-to-code","0.0","12.31","0.25","16.38"
"100","100.0","25","40.0","12.17","2000.0","90","11.92","dotnet-route-to-code","0.0","12.32","0.25","22.62"
