"RPS","Completed Requests (%)","Max CPU Utilization %","Working Set (MB)","Latency 75% (ms)","Completed Requests","Memory Limit (MB)","Latency 50% (ms)","Scenario","Swap (MB)","Latency 90% (ms)","CPU Limit","CPU Utilization %"
"100","100.0","50","41.0","12.24","2000.0","100","12.01","dotnet-route-to-code","0.0","12.41","0.5","13.86"
"100","100.0","50","42.0","12.21","2000.0","180","11.96","dotnet-route-to-code","0.0","12.35","0.5","31.2"
"100","100.0","50","36.0","12.26","2000.0","60","12.01","dotnet-route-to-code","0.0","12.43","0.5","8.86"
"100","100.0","100","41.0","12.28","2000.0","120","12.06","dotnet-route-to-code","0.0","12.42","1.0","24.0"
"100","100.0","100","42.0","12.29","2000.0","200","12.05","dotnet-route-to-code","0.0","12.43","1.0","19.34"
"100","100.0","100","40.0","12.26","2000.0","360","11.99","dotnet-route-to-code","0.0","12.42","1.0","7.25"
"1000","99.82","25","30.0","1880","19964.0","30","1130","dotnet-route-to-code","6.0","2250","0.25","23.13"
"1000","100.0","25","36.0","47.01","20000.0","50","12.28","dotnet-route-to-code","0.0","182.65","0.25","25.3"
"1000","98.98","25","38.0","2390","19795.0","90","1740","dotnet-route-to-code","0.0","2810","0.25","24.81"
"1000","100.0","50","36.0","12.17","20000.0","100","11.81","dotnet-route-to-code","0.0","16.99","0.5","49.91"
"1000","100.0","50","40.0","12.18","20000.0","180","11.83","dotnet-route-to-code","0.0","24.93","0.5","43.84"
"1000","100.0","50","33.0","12.18","20000.0","60","11.82","dotnet-route-to-code","0.0","17.74","0.5","45.87"
"1000","100.0","100","39.0","12.16","20000.0","120","11.89","dotnet-route-to-code","0.0","12.37","1.0","94.59"
"1000","100.0","100","43.0","12.17","20000.0","200","11.9","dotnet-route-to-code","0.0","12.38","1.0","88.19"
"1000","100.0","100","39.0","12.13","20000.0","360","11.84","dotnet-route-to-code","0.0","12.34","1.0","80.27"
"10000","12.78","25","30.0","15260","25561.0","30","13100","dotnet-route-to-code","12.0","16750","0.25","25.09"
"10000","9.51","25","37.0","16590","19029.0","50","14880","dotnet-route-to-code","0.0","17380","0.25","26.88"
"10000","11.28","25","38.0","15940","22568.0","90","13950","dotnet-route-to-code","0.0","17070","0.25","24.76"
"10000","32.73","50","42.0","11940","65455.0","100","10190","dotnet-route-to-code","0.0","12770","0.5","50.72"
"10000","36.54","50","40.0","11200","73089.0","180","9720","dotnet-route-to-code","0.0","12000","0.5","52.07"
"10000","37.60","50","36.0","10900","75206.0","60","9360","dotnet-route-to-code","0.0","11920","0.5","50.41"
"10000","62.80","100","44.0","7380","125605.0","120","7310","dotnet-route-to-code","0.0","7450","1.0","99.94"
"10000","34.54","100","43.0","11870","69090.0","200","10390","dotnet-route-to-code","0.0","12660","1.0","101.21"
"10000","44.33","100","46.0","11060","88656.0","360","10610","dotnet-route-to-code","0.0","11100","1.0","101.92"
"500","97.83","25","30.0","3340","9783.0","30","2400","dotnet-route-to-code","4.0","3960","0.25","20.89"
"500","100.0","25","34.0","12.24","10000.0","50","11.96","dotnet-route-to-code","0.0","16.75","0.25","24.03"
"500","100.0","25","37.0","1700","10000.0","90","823.81","dotnet-route-to-code","0.0","2190","0.25","21.65"
"500","100.0","50","39.0","12.15","10000.0","100","11.92","dotnet-route-to-code","0.0","12.32","0.5","31.52"
"500","100.0","50","40.0","12.15","10000.0","180","11.91","dotnet-route-to-code","0.0","12.34","0.5","35.07"
"500","100.0","50","36.0","12.14","10000.0","60","11.9","dotnet-route-to-code","0.0","12.32","0.5","37.88"
"500","100.0","100","37.0","12.2","10000.0","120","11.94","dotnet-route-to-code","0.0","12.35","1.0","44.37"
"500","100.0","100","42.0","12.16","10000.0","200","11.93","dotnet-route-to-code","0.0","12.32","1.0","57.21"
"500","100.0","100","41.0","12.14","10000.0","360","11.89","dotnet-route-to-code","0.0","12.3","1.0","60.54"
"5000","11.49","25","30.0","16330","11493.0","30","14550","dotnet-route-to-code","8.0","17170","0.25","24.28"
"5000","21.92","25","35.0","13800","21921.0","50","12370","dotnet-route-to-code","0.0","14980","0.25","24.44"
"5000","17.14","25","39.0","14810","17138.0","90","13120","dotnet-route-to-code","0.0","15960","0.25","23.97"
"5000","64.48","50","37.0","6070","64484.0","100","5390","dotnet-route-to-code","0.0","6710","0.5","49.34"
"5000","58.80","50","38.0","7570","58798.0","180","6490","dotnet-route-to-code","0.0","7890","0.5","51.0"
"5000","57.58","50","38.0","7680","57576.0","60","6810","dotnet-route-to-code","0.0","8150","0.5","50.27"
"5000","69.46","100","39.0","6500","69461.0","120","6330","dotnet-route-to-code","0.0","6560","1.0","97.81"
"5000","99.96","100","38.0","62.11","99961.0","200","23.55","dotnet-route-to-code","0.0","95.23","1.0","85.45"
"5000","74.43","100","40.0","5580","74427.0","360","5390","dotnet-route-to-code","0.0","5650","1.0","99.46"
"1","100.0","25","12.0","11.97","20.0","30","11.71","go-fasthttp","0.0","12","0.25","1.68"
"1","100.0","25","12.0","12.08","20.0","50","11.89","go-fasthttp","0.0","12.19","0.25","3.8"
"1","100.0","25","12.0","11.98","20.0","90","11.81","go-fasthttp","0.0","12.07","0.25","0.81"
"1","100.0","50","12.0","12.22","20.0","100","11.93","go-fasthttp","0.0","12.38","0.5","13.35"
"1","100.0","50","11.0","12.49","20.0","180","11.85","go-fasthttp","0.0","12.65","0.5","11.92"
"1","100.0","50","12.0","12.42","20.0","60","11.85","go-fasthttp","0.0","12.56","0.5","13.83"
"1","100.0","100","12.0","12.1","20.0","120","11.73","go-fasthttp","0.0","12.57","1.0","1.97"
"1","100.0","100","12.0","12.02","20.0","200","11.61","go-fasthttp","0.0","12.06","1.0","1.11"
"1","100.0","100","12.0","12.09","20.0","360","11.74","go-fasthttp","0.0","12.17","1.0","12.28"
"100","100.0","25","12.0","11.91","2000.0","30","11.67","go-fasthttp","0.0","12.07","0.25","2.64"
"100","100.0","25","12.0","11.87","2000.0","50","11.61","go-fasthttp","0.0","12.06","0.25","13.03"
"100","100.0","25","12.0","11.9","2000.0","90","11.66","go-fasthttp","0.0","12.08","0.25","7.06"
"100","100.0","50","13.0","11.97","2000.0","100","11.7","go-fasthttp","0.0","12.11","0.5","2.55"
"100","100.0","50","12.0","11.91","2000.0","180","11.65","go-fasthttp","0.0","12.08","0.5","14.38"
"100","100.0","50","12.0","11.97","2000.0","60","11.73","go-fasthttp","0.0","12.13","0.5","2.37"
"100","100.0","100","12.0","11.94","2000.0","120","11.67","go-fasthttp","0.0","12.09","1.0","2.79"
"100","100.0","100","12.0","11.95","2000.0","200","11.69","go-fasthttp","0.0","12.1","1.0","3.17"
"100","100.0","100","12.0","11.96","2000.0","360","11.73","go-fasthttp","0.0","12.11","1.0","2.5"
"1000","100.0","25","15.0","19.73","20000.0","30","11.82","go-fasthttp","0.0","33.6","0.25","21.65"
"1000","100.0","25","14.0","17.02","20000.0","50","11.79","go-fasthttp","0.0","30.33","0.25","21.74"
"1000","100.0","25","14.0","21.12","20000.0","90","11.87","go-fasthttp","0.0","35.29","0.25","21.79"
"1000","100.0","50","15.0","11.81","20000.0","100","11.57","go-fasthttp","0.0","11.98","0.5","23.68"
"1000","100.0","50","15.0","11.83","20000.0","180","11.57","go-fasthttp","0.0","12.01","0.5","24.47"
"1000","100.0","50","14.0","11.85","20000.0","60","11.6","go-fasthttp","0.0","12.01","0.5","24.31"
"1000","100.0","100","16.0","11.84","20000.0","120","11.59","go-fasthttp","0.0","12.01","1.0","31.08"
"1000","100.0","100","15.0","11.81","20000.0","200","11.57","go-fasthttp","0.0","11.98","1.0","24.28"
"1000","100.0","100","15.0","11.85","20000.0","360","11.6","go-fasthttp","0.0","12.01","1.0","29.92"
"10000","17.72","25","17.0","14300","35432.0","30","12310","go-fasthttp","0.0","15490","0.25","23.16"
"10000","18.15","25","16.0","14390","36299.0","50","12320","go-fasthttp","0.0","15720","0.25","25.7"
"10000","18.15","25","17.0","14200","36297.0","90","12370","go-fasthttp","0.0","15480","0.25","26.43"
"10000","31.54","50","17.0","11970","63087.0","100","10310","go-fasthttp","0.0","12950","0.5","53.38"
"10000","30.95","50","17.0","12040","61899.0","180","10350","go-fasthttp","0.0","13100","0.5","50.48"
"10000","31.02","50","16.0","11980","62031.0","60","10270","go-fasthttp","0.0","13110","0.5","50.49"
"10000","59.78","100","17.0","7020","119563.0","120","6030","go-fasthttp","0.0","7620","1.0","101.19"
"10000","60.77","100","17.0","6830","121531.0","200","5860","go-fasthttp","0.0","7440","1.0","103.76"
"10000","60.23","100","17.0","6980","120454.0","360","5980","go-fasthttp","0.0","7560","1.0","101.81"
"500","100.0","25","14.0","11.82","10000.0","30","11.6","go-fasthttp","0.0","11.98","0.25","11.75"
"500","100.0","25","14.0","11.85","10000.0","50","11.61","go-fasthttp","0.0","11.99","0.25","12.45"
"500","100.0","25","14.0","11.82","10000.0","90","11.6","go-fasthttp","0.0","11.98","0.25","14.02"
"500","100.0","50","14.0","11.85","10000.0","100","11.61","go-fasthttp","0.0","12","0.5","14.21"
"500","100.0","50","14.0","11.83","10000.0","180","11.61","go-fasthttp","0.0","11.98","0.5","13.63"
"500","100.0","50","14.0","11.84","10000.0","60","11.6","go-fasthttp","0.0","11.99","0.5","12.92"
"500","100.0","100","14.0","11.82","10000.0","120","11.61","go-fasthttp","0.0","11.98","1.0","20.47"
"500","100.0","100","14.0","11.81","10000.0","200","11.56","go-fasthttp","0.0","11.97","1.0","14.72"
"500","100.0","100","15.0","11.84","10000.0","360","11.6","go-fasthttp","0.0","11.98","1.0","17.65"
"5000","30.01","25","16.0","12210","30010.0","30","10500","go-fasthttp","0.0","13350","0.25","25.69"
"5000","30.03","25","15.0","12310","30028.0","50","10520","go-fasthttp","0.0","13350","0.25","24.14"
"5000","29.88","25","15.0","12310","29884.0","90","10650","go-fasthttp","0.0","13390","0.25","23.54"
"5000","58.84","50","15.0","7250","58841.0","100","6210","go-fasthttp","0.0","7820","0.5","49.55"
"5000","59.29","50","16.0","7090","59294.0","180","6050","go-fasthttp","0.0","7710","0.5","50.65"
"5000","58.24","50","16.0","7300","58240.0","60","6220","go-fasthttp","0.0","7930","0.5","49.81"
"5000","99.98","100","16.0","11.9","99982.0","120","11.49","go-fasthttp","0.0","17.17","1.0","99.48"
"5000","99.97","100","16.0","11.7","99973.0","200","11.4","go-fasthttp","0.0","13.9","1.0","98.34"
"5000","99.97","100","15.0","11.9","99967.0","360","11.5","go-fasthttp","0.0","16.56","1.0","100.05"
"1","100.0","25","13.0","12.32","20.0","30","12.26","go-stdlib","0.0","12.4","0.25","10.74"
"1","100.0","25","13.0","12.27","20.0","50","11.91","go-stdlib","0.0","12.31","0.25","2.36"
"1","100.0","25","13.0","12.52","20.0","90","12.14","go-stdlib","0.0","12.53","0.25","7.32"
"1","100.0","50","14.0","12.23","20.0","100","12","go-stdlib","0.0","12.26","0.5","26.18"
"1","100.0","50","13.0","12.34","20.0","180","12.09","go-stdlib","0.0","12.35","0.5","5.36"
"1","100.0","50","13.0","12.3","20.0","60","12.03","go-stdlib","0.0","12.41","0.5","8.01"
"1","100.0","100","15.0","12.31","20.0","120","12.12","go-stdlib","0.0","12.38","1.0","0.08"
"1","100.0","100","14.0","12.43","20.0","200","12.22","go-stdlib","0.0","12.57","1.0","30.41"
"1","100.0","100","14.0","12.54","20.0","360","12.07","go-stdlib","0.0","12.87","1.0","28.5"
"100","100.0","25","14.0","12.13","2000.0","30","11.85","go-stdlib","0.0","12.34","0.25","9.03"
"100","100.0","25","14.0","12.16","2000.0","50","11.86","go-stdlib","0.0","12.36","0.25","13.2"
"100","100.0","25","14.0","12.16","2000.0","90","11.85","go-stdlib","0.0","12.35","0.25","12.14"
"100","100.0","50","14.0","12.14","2000.0","100","11.85","go-stdlib","0.0","12.34","0.5","25.32"
"100","100.0","50","14.0","12.07","2000.0","180","11.77","go-stdlib","0.0","12.28","0.5","8.81"
"100","100.0","50","14.0","12.18","2000.0","60","11.85","go-stdlib","0.0","12.38","0.5","25.5"
"100","100.0","100","14.0","12.18","2000.0","120","11.84","go-stdlib","0.0","12.37","1.0","27.5"
"100","100.0","100","14.0","12.13","2000.0","200","11.82","go-stdlib","0.0","12.35","1.0","12.45"
"100","100.0","100","14.0","12.18","2000.0","360","11.87","go-stdlib","0.0","12.37","1.0","27.61"
"1000","32.65","25","14.0","11780","6530.0","30","9930","go-stdlib","0.0","12730","0.25","23.4"
"1000","33.40","25","15.0","11680","6681.0","50","9990","go-stdlib","0.0","12740","0.25","23.28"
"1000","32.35","25","16.0","11850","6470.0","90","10100","go-stdlib","0.0","12940","0.25","21.4"
"1000","65.69","50","16.0","6020","13138.0","100","5100","go-stdlib","0.0","6550","0.5","50.28"
"1000","64.05","50","14.0","6330","12810.0","180","5370","go-stdlib","0.0","6900","0.5","51.43"
"1000","64.90","50","15.0","6140","12981.0","60","5260","go-stdlib","0.0","6680","0.5","51.22"
"1000","80.15","100","17.0","12.58","16030.0","120","11.98","go-stdlib","0.0","2040","1.0","106.05"
"1000","85.01","100","15.0","12.2","17002.0","200","11.85","go-stdlib","0.0","766.46","1.0","85.69"
"1000","79.94","100","15.0","12.49","15989.0","360","11.97","go-stdlib","0.0","1880","1.0","99.17"
"10000","3.69","25","18.0","16840","7387.0","30","14350","go-stdlib","0.0","18400","0.25","24.86"
"10000","3.52","25","19.0","16860","7044.0","50","14590","go-stdlib","0.0","18430","0.25","24.12"
"10000","3.56","25","19.0","16740","7113.0","90","14350","go-stdlib","0.0","18140","0.25","24.68"
"10000","6.64","50","19.0","16310","13284.0","100","13930","go-stdlib","0.0","17650","0.5","49.54"
"10000","6.87","50","18.0","16200","13749.0","180","13940","go-stdlib","0.0","17610","0.5","52.31"
"10000","6.94","50","19.0","16250","13873.0","60","13940","go-stdlib","0.0","17660","0.5","50.07"
"10000","9.53","100","21.0","13400","19057.0","120","10310","go-stdlib","0.0","16210","1.0","106.25"
"10000","9.48","100","21.0","13300","18959.0","200","10470","go-stdlib","0.0","16330","1.0","105.61"
"10000","9.42","100","21.0","12990","18833.0","360","10310","go-stdlib","0.0","16130","1.0","101.17"
"500","70.21","25","15.0","5320","7021.0","30","4680","go-stdlib","0.0","5730","0.25","22.94"
"500","69.40","25","13.0","5370","6940.0","50","4600","go-stdlib","0.0","5840","0.25","23.31"
"500","69.98","25","13.0","5340","6998.0","90","4520","go-stdlib","0.0","5780","0.25","21.64"
"500","100.0","50","14.0","12.06","10000.0","100","11.75","go-stdlib","0.0","12.26","0.5","43.56"
"500","100.0","50","14.0","12.03","10000.0","180","11.71","go-stdlib","0.0","12.23","0.5","42.68"
"500","100.0","50","14.0","12.06","10000.0","60","11.74","go-stdlib","0.0","12.26","0.5","46.75"
"500","100.0","100","15.0","12.05","10000.0","120","11.73","go-stdlib","0.0","12.24","1.0","42.99"
"500","100.0","100","16.0","12.05","10000.0","200","11.73","go-stdlib","0.0","12.25","1.0","43.85"
"500","100.0","100","15.0","12.04","10000.0","360","11.74","go-stdlib","0.0","12.24","1.0","41.48"
"5000","5.63","25","14.0","16590","5629.0","30","14100","go-stdlib","0.0","18010","0.25","24.09"
"5000","5.57","25","15.0","16230","5566.0","50","13970","go-stdlib","0.0","17780","0.25","24.27"
"5000","5.75","25","15.0","16620","5752.0","90","14370","go-stdlib","0.0","18040","0.25","21.67"
"5000","11.63","50","15.0","15400","11632.0","100","13210","go-stdlib","0.0","16860","0.5","48.46"
"5000","11.16","50","16.0","15570","11158.0","180","13430","go-stdlib","0.0","16920","0.5","46.51"
"5000","11.41","50","16.0","15590","11412.0","60","13350","go-stdlib","0.0","16810","0.5","49.18"
"5000","21.91","100","15.0","10980","21913.0","120","9780","go-stdlib","0.0","12650","1.0","101.16"
"5000","21.89","100","16.0","10950","21889.0","200","9720","go-stdlib","0.0","12490","1.0","103.82"
"5000","22.12","100","15.0","10970","22120.0","360","9720","go-stdlib","0.0","12350","1.0","98.48"
"1","0.0","25","30.0","0","0.0","30","0","java-quarkus-graal","18.0","0","0.25","23.24"
"1","0.0","25","50.0","0","0.0","50","0","java-quarkus-graal","30.0","0","0.25","24.24"
"1","100.0","25","70.0","13.38","20.0","90","13.08","java-quarkus-graal","0.0","13.38","0.25","23.41"
"1","100.0","50","75.0","13.15","20.0","100","12.93","java-quarkus-graal","4.0","13.5","0.5","45.21"
"1","100.0","50","62.0","12.94","20.0","180","12.49","java-quarkus-graal","0.0","13.11","0.5","44.73"
"1","30.0","50","60.0","0","6.0","60","0","java-quarkus-graal","66.0","0","0.5","53.15"
"1","100.0","100","77.0","12.94","20.0","120","12.83","java-quarkus-graal","4.0","13.44","1.0","93.66"
"1","100.0","100","45.0","13.18","20.0","200","12.74","java-quarkus-graal","0.0","13.23","1.0","95.75"
"1","100.0","100","60.0","12.84","20.0","360","12.66","java-quarkus-graal","0.0","12.85","1.0","51.19"
"100","0.0","25","30.0","0","0.0","30","0","java-quarkus-graal","27.0","0","0.25","23.23"
"100","0.0","25","50.0","0","0.0","50","0","java-quarkus-graal","34.0","0","0.25","22.44"
"100","21.75","25","75.0","14210","435.0","90","11990","java-quarkus-graal","5.0","15060","0.25","23.36"
"100","63.90","50","100.0","6550","1278.0","100","5140","java-quarkus-graal","49.0","7050","0.5","46.24"
"100","100.0","50","76.0","12.77","2000.0","180","12.53","java-quarkus-graal","0.0","12.96","0.5","42.71"
"100","0.0","50","60.0","0","0.0","60","0","java-quarkus-graal","70.0","0","0.5","45.58"
"100","100.0","100","75.0","12.74","2000.0","120","12.41","java-quarkus-graal","4.0","22.99","1.0","94.74"
"100","100.0","100","70.0","12.71","2000.0","200","12.49","java-quarkus-graal","0.0","12.94","1.0","49.97"
"100","100.0","100","93.0","12.69","2000.0","360","12.48","java-quarkus-graal","0.0","12.89","1.0","93.07"
"1000","0.0","25","30.0","0","0.0","30","0","java-quarkus-graal","18.0","0","0.25","24.6"
"1000","0.0","25","50.0","0","0.0","50","0","java-quarkus-graal","9.0","0","0.25","24.62"
"1000","0.0","25","62.0","0","0.0","90","0","java-quarkus-graal","0.0","0","0.25","26.37"
"1000","1.34","50","100.0","16860","268.0","100","14560","java-quarkus-graal","34.0","18240","0.5","46.46"
"1000","4.64","50","54.0","16280","927.0","180","14330","java-quarkus-graal","0.0","17860","0.5","45.95"
"1000","0.0","50","60.0","0","0.0","60","0","java-quarkus-graal","69.0","0","0.5","45.17"
"1000","4.26","100","120.0","16700","851.0","120","14190","java-quarkus-graal","42.0","18170","1.0","95.7"
"1000","10.24","100","50.0","15660","2048.0","200","13420","java-quarkus-graal","0.0","17090","1.0","96.15"
"1000","28.00","100","70.0","12520","5600.0","360","10710","java-quarkus-graal","0.0","13660","1.0","97.65"
"10000","0.0","25","30.0","0","0.0","30","0","java-quarkus-graal","25.0","0","0.25","23.84"
"10000","0.0","25","34.0","0","0.0","50","0","java-quarkus-graal","0.0","0","0.25","26.47"
"10000","0.0","25","36.0","0","0.0","90","0","java-quarkus-graal","0.0","0","0.25","24.61"
"10000","0.12","50","100.0","18120","235.0","100","15660","java-quarkus-graal","73.0","18860","0.5","47.4"
"10000","0.02","50","77.0","13120","33.0","180","11310","java-quarkus-graal","0.0","14980","0.5","53.6"
"10000","0.0","50","60.0","0","0.0","60","0","java-quarkus-graal","67.0","0","0.5","44.95"
"10000","0.41","100","68.0","17450","820.0","120","15310","java-quarkus-graal","0.0","18990","1.0","95.11"
"10000","0.86","100","108.0","17220","1726.0","200","14720","java-quarkus-graal","0.0","18640","1.0","96.59"
"10000","1.89","100","73.0","17200","3789.0","360","14820","java-quarkus-graal","0.0","18690","1.0","99.19"
"500","0.0","25","30.0","0","0.0","30","0","java-quarkus-graal","27.0","0","0.25","24.01"
"500","0.0","25","33.0","0","0.0","50","0","java-quarkus-graal","0.0","0","0.25","26.41"
"500","0.42","25","90.0","19500","42.0","90","18530","java-quarkus-graal","99.0","19740","0.25","25.84"
"500","6.63","50","100.0","15840","663.0","100","14160","java-quarkus-graal","36.0","17270","0.5","46.47"
"500","18.00","50","79.0","14110","1800.0","180","11950","java-quarkus-graal","0.0","15600","0.5","48.18"
"500","0.0","50","60.0","0","0.0","60","0","java-quarkus-graal","74.0","0","0.5","45.17"
"500","25.27","100","86.0","13060","2527.0","120","11120","java-quarkus-graal","0.0","14290","1.0","96.61"
"500","47.42","100","48.0","9240","4742.0","200","7980","java-quarkus-graal","0.0","9990","1.0","95.84"
"500","100.0","100","69.0","12.81","10000.0","360","12.43","java-quarkus-graal","0.0","21.61","1.0","62.93"
