#TYPE System.Management.Automation.PSCustomObject
"Scenario","Memory Limit (MB)","CPU Limit","Max CPU Utilization %","Completed Requests","Working Set (MB)","Bad Responses","Mean Latency (ms)","RPS","CPU Utilization %","Completed Requests (%)"
"weatherapp-springbootwebflux","200","1.0","100","8328.0","160.0","0.0","61.75","1000","101.15","55.52"
"weatherapp-springbootwebflux","360","1.0","100","8159.0","152.0","0.0","63.26","1000","105.4","54.39"
"weatherapp-springbootwebflux","30","0.25","25","385.0","30.0","385.0","10532.95","10000","24.93","0.26"
"weatherapp-springbootwebflux","50","0.25","25","129.0","50.0","126.0","21392.05","10000","25.11","0.09"
"weatherapp-springbootwebflux","90","0.25","25","185.0","90.0","146.0","12244.55","10000","25.42","0.12"
"weatherapp-springbootwebflux","100","0.5","50","1765.0","100.0","10.0","1109.48","10000","51.66","1.18"
"weatherapp-springbootwebflux","180","0.5","50","2665.0","118.0","0.0","729.41","10000","51.4","1.78"
"weatherapp-springbootwebflux","60","0.5","50","780.0","60.0","8.0","2523.44","10000","49.72","0.52"
"weatherapp-springbootwebflux","120","1.0","100","9858.0","120.0","0.0","194.86","10000","103.44","6.57"
"weatherapp-springbootwebflux","200","1.0","100","10169.0","163.0","0.0","189.37","10000","101.97","6.78"
"weatherapp-springbootwebflux","360","1.0","100","11123.0","156.0","0.0","173.1","10000","103.32","7.42"
"weatherapp-springbootwebflux","30","0.25","25","64.0","30.0","64.0","10849","25000",,"0.02"
"weatherapp-springbootwebflux","50","0.25","25","161.0","50.0","27.0","3169.59","25000",,"0.04"
"weatherapp-springbootwebflux","90","0.25","25","514.0","90.0","0.0","948.75","25000",,"0.14"
"weatherapp-springbootwebflux","100","0.5","50","1977.0","100.0","0.0","243.69","25000",,"0.53"
"weatherapp-springbootwebflux","180","0.5","50","2210.0","114.0","0.0","217.96","25000",,"0.59"
"weatherapp-springbootwebflux","60","0.5","50","1564.0","60.0","0.0","309.67","25000",,"0.42"
"weatherapp-springbootwebflux","120","1.0","100","8521.0","120.0","0.0","56.39","25000",,"2.27"
"weatherapp-springbootwebflux","200","1.0","100","8333.0","158.0","0.0","57.81","25000",,"2.22"
"weatherapp-springbootwebflux","360","1.0","100","8798.0","158.0","0.0","54.6","25000",,"2.35"
"weatherapp-springbootwebflux","30","0.25","25","64.0","30.0","64.0","17659.22","500",,"0.85"
"weatherapp-springbootwebflux","50","0.25","25","64.0","50.0","32.0","9850.73","500",,"0.85"
"weatherapp-springbootwebflux","90","0.25","25","413.0","90.0","0.0","1196.55","500",,"5.51"
"weatherapp-springbootwebflux","100","0.5","50","2112.0","100.0","0.0","222.28","500",,"28.16"
"weatherapp-springbootwebflux","180","0.5","50","1959.0","131.0","0.0","239.56","500",,"26.12"
"weatherapp-springbootwebflux","60","0.5","50","1260.0","60.0","0.0","379.66","500",,"16.80"
"weatherapp-springbootwebflux","120","1.0","100","6478.0","120.0","0.0","48.64","500",,"86.37"
"weatherapp-springbootwebflux","200","1.0","100","6664.0","160.0","0.0","44.28","500",,"88.85"
"weatherapp-springbootwebflux","360","1.0","100","6584.0","161.0","0.0","46.28","500",,"87.79"
